plant	herbivore	parasitoid
GUL	CRAM003	0
GUL	CRAM003	0
GUL	CRAM003	0
GUL	CRAM003	0
GUL	CRAM003	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM005	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CRAM006	0
GUL	CHOR001	0
GUL	TORT005	0
GUL	CHOR001	0
GUL	CHOR001	0
MOL	CHOR002	0
GUL	CHOR002	0
GUL	CRAM006	0
GUL	CRAM006	0
MOL	TORT066	0
KLE	GEOM006	0
KLE	GEOM006	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
MOL	CHOR002	0
MOL	CHOR002	0
MOL	CHOR002	0
MOL	TORT005	0
MOL	TORT005	0
MOL	TORT012	0
MOL	TORT012	0
MOL	TORT012	0
MOL	CHOR001	0
MOL	CHOR001	0
MOL	CRAM010	0
MOL	TORT009	0
MOL	TORT009	0
HYB	NOCT077	0
HYB	NOCT078	0
MOL	NOCT079	0
HYB	LYMA062	0
GEU	HYBL003	0
KLE	NOTO004	0
MOL	PYRA022	0
MOL	LYCA001	0
MOL	LYCA001	0
MOL	LYCA001	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
GEU	PYRA003	0
TRI	PYRA021	0
TRI	PYRA021	0
TRI	PYRA021	0
KLE	LIMA024	0
TRI	GEOM034	0
HYB	NOCT077	0
KLE	TORT071	0
KLE	TORT071	0
KLE	GEOM006	0
KLE	GEOM006	0
KLE	GEOM006	0
TRI	THYR010	0
TRI	THYR010	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
HYB	CRAM012	0
TRI	CRAM013	0
TRI	NOCT081	0
KLE	LYMA060	0
TRI	NOCT081	0
HYB	NOCT083	0
KLE	GEOM113	0
TRI	CRAM076	0
KLE	TORT131	0
KLE	NOTO004	0
KLE	NOTO004	0
KLE	NOTO004	0
KLE	GEOM016	0
KLE	GEOM006	0
HYB	NOCT077	0
KLE	NOTO004	0
GEU	HYBL003	0
KLE	TORT067	0
TRI	TORT067	0
KLE	TORT131	0
KLE	TORT131	0
KLE	TORT131	0
KLE	TORT067	0
KLE	TORT044	0
TRI	CRAM013	0
GEU	PYRA003	0
KLE	NOTO004	0
HYB	NOCT077	0
TRI	CRAM013	0
TRI	THYR010	0
KLE	NOTO004	0
TRI	CRAM076	0
TRI	CRAM013	0
TRI	CRAM013	0
GEU	PYRA003	0
KLE	LYMA060	0
TRI	PYRA021	0
TRI	CRAM013	0
GEU	PYRA003	0
GEU	PYRA003	0
